image_names,cell_type,xmin,xmax,ymin,ymax
313.png,beat,1015,1015,85,630
317.png,beat,674,674,85,630
324.png,beat,936,936,85,630
339.png,beat,925,925,85,630
346.png,beat,929,929,85,630
347.png,beat,1365,1365,85,630
350.png,beat,1216,1216,85,630
362.png,beat,1314,1314,85,630
365.png,beat,1118,1118,85,630
368.png,beat,884,884,85,630
380.png,beat,1261,1261,85,630
382.png,beat,1021,1021,85,630
388.png,beat,1194,1194,85,630
390.png,beat,807,807,85,630
391.png,beat,850,850,85,630
394.png,beat,1253,1253,85,630
396.png,beat,1230,1230,85,630
398.png,beat,854,854,85,630
404.png,beat,953,953,85,630
406.png,beat,1074,1074,85,630
410.png,beat,944,944,85,630
411.png,beat,921,921,85,630
418.png,beat,933,933,85,630
431.png,beat,1557,1557,85,630
432.png,beat,814,814,85,630
436.png,beat,860,860,85,630
438.png,beat,792,792,85,630
442.png,beat,1235,1235,85,630
445.png,beat,1022,1022,85,630
453.png,beat,897,897,85,630
464.png,beat,1283,1283,85,630
466.png,beat,911,911,85,630
467.png,beat,910,910,85,630
469.png,beat,1168,1168,85,630
470.png,beat,1038,1038,85,630
479.png,beat,1086,1086,85,630
492.png,beat,861,861,85,630
494.png,beat,1220,1220,85,630
499.png,beat,827,827,85,630
504.png,beat,814,814,85,630
506.png,beat,1110,1110,85,630
511.png,beat,1215,1215,85,630
519.png,beat,856,856,85,630
520.png,beat,866,866,85,630
526.png,beat,861,861,85,630
528.png,beat,1047,1047,85,630
533.png,beat,900,900,85,630
539.png,beat,1261,1261,85,630
540.png,beat,954,954,85,630
542.png,beat,1184,1184,85,630
547.png,beat,884,884,85,630
552.png,beat,901,901,85,630
558.png,beat,1105,1105,85,630
585.png,beat,884,884,85,630
591.png,beat,1249,1249,85,630
599.png,beat,1314,1314,85,630
600.png,beat,754,754,85,630
603.png,beat,1144,1144,85,630
613.png,beat,979,979,85,630
625.png,beat,817,817,85,630
629.png,beat,907,907,85,630
632.png,beat,1220,1220,85,630
634.png,beat,1131,1131,85,630
637.png,beat,1099,1099,85,630
638.png,beat,914,914,85,630
639.png,beat,903,903,85,630
648.png,beat,1148,1148,85,630
671.png,beat,975,975,85,630
674.png,beat,788,788,85,630
699.png,beat,1093,1093,85,630
708.png,beat,1040,1040,85,630
716.png,beat,1155,1155,85,630
719.png,beat,1430,1430,85,630
721.png,beat,1005,1005,85,630
728.png,beat,1411,1411,85,630
731.png,beat,1227,1227,85,630
