counts,value,time
0,0.617,0.8172681331634521
0,0.328,1.4338407516479492
0,0.378,1.7613797187805176
0,0.354,2.139366626739502
0,0.388,2.493591785430908
0,0.35,2.881998300552368
0,0.355,3.2324206829071045
0,0.379,3.5869667530059814
0,0.364,3.966439962387085
0,0.362,4.3306779861450195
0,0.381,4.692781686782837
0,0.345,5.0734663009643555
0,0.359,5.418004751205444
1,0.359,7.241778373718262
0,0.39,5.777064085006714
0,0.319,6.167174816131592
0,0.373,6.486325025558472
0,0.383,6.859037637710571
0,0.371,7.601194381713867
0,0.368,7.972494840621948
0,2.155,8.340177297592163
0,0.753,10.495256662368774
1,0.753,25.162139177322388
0,0.749,11.248579978942871
0,0.743,11.997631072998047
1,0.743,17.920331954956055
0,0.724,12.740964651107788
1,0.724,19.338690042495728
2,0.724,2.5684423446655273
3,0.724,22.30585217475891
4,0.724,20.744532585144043
5,0.724,8.340973377227783
0,0.678,13.46505880355835
0,0.76,14.142653942108154
1,0.76,22.954365968704224
0,0.791,14.902667045593262
0,0.723,15.694118976593018
1,0.723,18.663382530212402
2,0.723,11.984112024307251
3,0.723,17.106215238571167
4,0.723,13.460495471954346
0,0.716,16.417319536209106
0,0.715,17.13315749168396
1,0.715,20.125572443008423
2,0.715,20.840216636657715
0,0.746,17.84842801094055
1,0.746,20.765379190444946
2,0.746,23.054369688034058
3,0.746,26.699382543563843
4,0.746,5.468836784362793
5,0.746,15.723338842391968
6,0.746,16.367877960205078
0,0.745,18.59403944015503
1,0.745,22.209279775619507
2,0.745,1.823667049407959
3,0.745,8.40286922454834
4,0.745,13.426681280136108
5,0.745,25.15152359008789
6,0.745,10.535553455352783
7,0.745,28.80402421951294
0,0.703,20.062732219696045
0,0.698,21.51136803627014
1,0.698,23.800747871398926
0,0.72,23.714298963546753
1,0.72,7.682743072509766
2,0.72,28.179657220840454
3,0.72,9.054188251495361
4,0.72,10.505887031555176
5,0.72,15.648113012313843
0,0.728,24.433881521224976
1,0.728,25.245219469070435
2,0.728,10.603382349014282
3,0.728,12.789222717285156
4,0.728,28.075842142105103
0,0.721,25.91496706008911
1,0.721,4.6666953563690186
2,0.721,14.927187204360962
3,0.721,17.114347219467163
4,0.721,24.43187165260315
0,0.735,26.636072397232056
1,0.735,22.319836139678955
2,0.735,21.484729290008545
0,0.705,27.370678424835205
1,0.705,14.312070369720459
0,0.727,28.07543134689331
1,0.727,3.292341947555542
0,0.756,28.802905559539795
0,0.778,1.084521770477295
0,0.737,1.8627209663391113
1,0.737,6.945868968963623
2,0.737,14.985965728759766
3,0.737,3.1932618618011475
0,0.712,2.6002166271209717
1,0.712,6.958348274230957
2,0.712,23.0296790599823
3,0.712,6.889362573623657
4,0.712,25.153075695037842
0,0.772,3.312246561050415
1,0.772,7.670154809951782
0,0.719,4.083779573440552
1,0.719,21.600645780563354
2,0.719,12.707292556762695
3,0.719,26.62258529663086
0,0.711,4.802768230438232
1,0.711,5.513733863830566
2,0.711,4.757592678070068
0,0.734,6.224397659301758
1,0.734,18.64916706085205
2,0.734,9.14769458770752
3,0.734,16.372066020965576
0,0.692,8.4423668384552
0,0.765,9.134338855743408
1,0.765,2.4278297424316406
2,0.765,1.7271413803100586
0,0.702,9.89977741241455
0,0.801,10.601701736450195
0,0.713,11.40259051322937
1,0.713,11.28018832206726
2,0.713,11.99299430847168
0,0.725,12.116018056869507
1,0.725,6.848953723907471
2,0.725,2.492291212081909
3,0.725,6.163965463638306
4,0.725,23.707063913345337
0,0.717,12.840794086456299
1,0.717,28.900110483169556
0,0.754,13.557754039764404
1,0.754,12.70627760887146
0,0.741,15.017075300216675
1,0.741,26.677194595336914
2,0.741,0.9859905242919922
3,0.741,20.0342435836792
0,0.707,15.758019208908081
0,0.764,16.46503472328186
0,0.68,17.229475021362305
0,0.739,17.909863233566284
1,0.739,19.38685441017151
2,0.739,3.9469215869903564
3,0.739,7.60158896446228
0,0.755,19.3832528591156
0,0.704,20.138243913650513
1,0.704,22.226086616516113
0,0.758,20.84274387359619
1,0.758,11.226085186004639
2,0.758,21.468254327774048
0,0.747,24.498250007629395
1,0.747,13.517095804214478
2,0.747,23.74191451072693
3,0.747,7.573601484298706
0,0.726,25.97306728363037
1,0.726,25.89695143699646
2,0.726,4.686153411865234
0,0.733,27.445072412490845
1,0.733,8.320978879928589
0,0.75,28.178523063659668
1,0.75,21.555606603622437
0,0.683,28.92887783050537
0,0.732,1.0912392139434814
1,0.732,9.065411567687988
0,0.738,4.019239187240601
1,0.738,15.633788824081421
2,0.738,9.797848224639893
3,0.738,19.296218395233154
0,0.731,6.214597702026367
1,0.731,9.774634838104248
2,0.731,18.5812885761261
3,0.731,28.815361499786377
4,0.731,18.565289974212646
0,0.722,9.881789207458496
1,0.722,14.264410018920898
2,0.722,6.127310514450073
3,0.722,19.31273317337036
0,0.752,11.331626415252686
1,0.752,17.829606294631958
2,0.752,5.41218113899231
3,0.752,25.865372896194458
0,0.706,12.08366322517395
1,0.706,27.341921091079712
0,0.742,16.469837188720703
1,0.742,25.935261726379395
0,0.708,17.212056875228882
1,0.708,23.703367948532104
0,0.751,24.488656282424927
0,0.696,25.239189386367798
0,0.761,27.418535947799683
0,0.709,1.7187221050262451
1,0.709,20.77538013458252
0,0.736,3.930311918258667
0,0.74,5.387665748596191
1,0.74,24.411025285720825
2,0.74,22.96749758720398
0,0.748,14.171427965164185
1,0.748,22.219984531402588
0,0.714,14.919499158859253
0,0.71,20.034345626831055
