gap,value
0,90
1.0,90
2.0,90
3.0,90
4.0,90
5.0,90
6.0,90
7.0,90
8.0,90
9.000,90
10.00,90
11.00,90
12.00,90
13.00,91
14.00,91
15.00,91
16.00,91
17.00,91
18.00,90
19.00,90
20.00,90
21.00,90
22.00,90
23.00,90
24.00,90
25.00,90
26.00,90
27.00,90
28.00,89
29.00,88
30.00,89
31.00,89
32.00,89
33.00,90
34.00,90
35.00,90
36.00,90
37.00,90
38.00,91
39.00,91
40.00,91
41.00,63
42.00,64
43.00,64
44.00,63
45.00,65
46.00,65
47.00,67
48.00,68
49.00,68
50.00,75
51.00,75
52.00,76
53.00,76
54.00,76
55.00,80
56.00,80
57.00,83
58.00,83
59.00,83
60.00,83
61.00,95
62.00,95
63.00,96
64.00,122
65.00,124
66.00,124
67.00,125
68.00,126
69.00,152
70.00,187
71.00,196
72.00,196
73.00,196
74.00,204
75.00,206
76.00,207
77.00,234
78.00,235
79.00,254
80.00,271
81.00,273
82.00,275
83.00,274
84.00,277
85.00,279
86.00,280
87.00,281
88.00,281
89.00,285
90.00,287
91.00,318
92.00,319
93.00,319
94.00,320
95.00,322
96.00,322
97.00,323
98.00,325
99.00,355
100.0,356
101.0,356
102.0,357
103.0,358
104.0,360
105.0,362
106.0,378
107.0,378
108.0,377
109.0,379
110.0,379
111.0,396
112.0,436
113.0,511
114.0,514
115.0,515
116.0,515
117.0,518
118.0,591
119.0,662
120.0,663
121.0,663
122.0,668
123.0,697
124.0,698
125.0,691
126.0,687
127.0,692
128.0,692
129.0,693
130.0,695
131.0,728
132.0,729
133.0,745
134.0,748
135.0,750
136.0,750
137.0,751
138.0,793
139.0,793
140.0,792
141.0,793
142.0,795
143.0,796
144.0,815
145.0,823
146.0,824
147.0,826
148.0,828
149.0,861
150.0,863
151.0,889
152.0,882
153.0,885
154.0,886
155.0,886
156.0,915
157.0,917
158.0,919
159.0,921
160.0,919
161.0,921
162.0,952
163.0,955
164.0,960
165.0,961
166.0,965
167.0,970
168.0,1004
169.0,974
170.0,975
171.0,980
172.0,999
173.0,998
174.0,1002
175.0,1006
176.0,1008
177.0,1045
178.0,1043
179.0,1044
180.0,1045
181.0,1068
182.0,1069
183.0,1074
184.0,1076
185.0,1084
186.0,1087
187.0,1085
188.0,1087
189.0,1088
190.0,1127
191.0,1163
192.0,1189
193.0,1191
194.0,1193
195.0,1225
196.0,1227
197.0,1290
198.0,1301
199.0,1302
200.0,1304
201.0,1346
202.0,1344
203.0,1354
204.0,1378
205.0,1388
206.0,1394
207.0,1404
208.0,1406
209.0,1423
210.0,1450
211.0,1469
212.0,1473
213.0,1474
214.0,1476
215.0,1479
216.0,1480
217.0,1481
218.0,1485
219.0,1490
220.0,1495
221.0,1496
222.0,1579
223.0,1584
224.0,1586
225.0,1587
226.0,1602
227.0,1604
228.0,1634
229.0,1635
230.0,1636
231.0,1640
232.0,1671
233.0,1751
234.0,1788
235.0,1826
236.0,1829
237.0,1830
238.0,1833
239.0,1833
240.0,1834
241.0,1868
242.0,1871
243.0,1893
244.0,1894
245.0,1883
246.0,1887
247.0,1919
248.0,1920
249.0,1924
250.0,1924
251.0,1925
252.0,1927
253.0,1929
254.0,2004
255.0,2006
256.0,2009
257.0,2009
258.0,1968
259.0,1970
260.0,1972
261.0,1974
262.0,1991
263.0,1952
264.0,1953
265.0,1953
266.0,1954
267.0,1956
268.0,1957
269.0,1956
270.0,1960
271.0,1961
272.0,1961
273.0,1961
274.0,1961
275.0,1961
276.0,1961
277.0,1962
278.0,1962
279.0,1962
280.0,1921
281.0,1921
282.0,1921
283.0,1921
284.0,1923
285.0,1923
286.0,1923
287.0,1923
288.0,1923
289.0,1923
290.0,1923
291.0,1922
292.0,1937
293.0,1936
294.0,1955
295.0,1959
296.0,1959
297.0,1960
298.0,1961
299.0,1961
300.0,1961
