counts,value,time
1,0.736,1.0790221691131592
2,0.736,10.591298341751099
3,0.736,12.047755718231201
4,0.736,28.13526439666748
5,0.736,28.87125039100647
1,0.761,1.814945936203003
1,0.703,2.5758304595947266
1,0.752,3.2790071964263916
2,0.752,9.839215755462646
3,0.752,12.783460140228271
4,0.752,17.887810230255127
1,0.704,4.031390190124512
2,0.704,9.13555359840393
3,0.704,22.302961111068726
1,0.744,4.735186815261841
2,0.744,7.671018838882446
3,0.744,15.703735113143921
1,0.712,5.479103326797485
2,0.712,18.639336109161377
1,0.753,6.19124698638916
1,0.727,6.943894863128662
1,0.72,8.415453672409058
2,0.72,11.32737946510315
3,0.72,13.535783290863037
4,0.72,16.44761633872986
5,0.72,17.167775869369507
1,0.71,14.255940914154053
1,0.737,14.966395854949951
1,0.751,19.351675987243652
2,0.751,23.751838445663452
1,0.713,20.10304284095764
1,0.76,20.815627813339233
2,0.76,25.19950842857361
1,0.728,21.575149536132812
1,0.745,23.00689435005188
2,0.745,26.671029806137085
1,0.697,24.502917528152466
1,0.711,25.95977544784546
1,0.719,27.416494131088257
1,0.729,29.6069655418396
0,0.2,
0,0.3,
0,0.4,
0,0.5,
0,0.6,
0,0.7,
0,0.8,
0,0.9,
0,1.0,
0,1.1,
0,1.2,
