gap,value
0,127
1.0,127
2.0,127
3.0,127
4.0,127
5.0,127
6.0,127
7.0,127
8.0,127
9.000,127
10.00,128
11.00,128
12.00,128
13.00,129
14.00,129
15.00,143
16.00,144
17.00,145
18.00,145
19.00,145
20.00,145
21.00,145
22.00,146
23.00,146
24.00,146
25.00,145
26.00,145
27.00,145
28.00,144
29.00,143
30.00,145
31.00,145
32.00,145
33.00,147
34.00,147
35.00,148
36.00,149
37.00,149
38.00,150
39.00,150
40.00,150
41.00,160
42.00,164
43.00,165
44.00,165
45.00,167
46.00,167
47.00,169
48.00,170
49.00,208
50.00,216
51.00,218
52.00,219
53.00,220
54.00,220
55.00,225
56.00,226
57.00,229
58.00,229
59.00,247
60.00,249
61.00,262
62.00,265
63.00,300
64.00,327
65.00,329
66.00,329
67.00,332
68.00,333
69.00,359
70.00,397
71.00,408
72.00,430
73.00,439
74.00,449
75.00,449
76.00,452
77.00,489
78.00,490
79.00,515
80.00,532
81.00,536
82.00,540
83.00,539
84.00,542
85.00,546
86.00,554
87.00,556
88.00,557
89.00,580
90.00,583
91.00,618
92.00,645
93.00,645
94.00,653
95.00,686
96.00,689
97.00,691
98.00,701
99.00,743
100.0,750
101.0,752
102.0,758
103.0,766
104.0,811
105.0,815
106.0,843
107.0,853
108.0,889
109.0,916
110.0,919
111.0,940
112.0,985
113.0,1062
114.0,1116
115.0,1177
116.0,1182
117.0,1186
118.0,1262
119.0,1339
120.0,1346
121.0,1351
122.0,1361
123.0,1400
124.0,1404
125.0,1402
126.0,1406
127.0,1421
128.0,1461
129.0,1486
130.0,1496
131.0,1537
132.0,1546
133.0,1583
134.0,1612
135.0,1617
136.0,1651
137.0,1654
138.0,1689
139.0,1691
140.0,1691
141.0,1701
142.0,1704
143.0,1737
144.0,1758
145.0,1769
146.0,1815
147.0,1819
148.0,1826
149.0,1861
150.0,1865
151.0,1894
152.0,1903
153.0,1913
154.0,1914
155.0,1916
156.0,1948
157.0,1954
158.0,1957
159.0,1960
160.0,1964
161.0,1971
162.0,2004
163.0,2010
164.0,2087
165.0,2089
166.0,2136
167.0,2186
168.0,2230
169.0,2233
170.0,2240
171.0,2246
172.0,2282
173.0,2381
174.0,2390
175.0,2401
176.0,2473
177.0,2537
178.0,2539
179.0,2544
180.0,2551
181.0,2586
182.0,2612
183.0,2623
184.0,2630
185.0,2657
186.0,2670
187.0,2677
188.0,2691
189.0,2727
190.0,2771
191.0,2846
192.0,2875
193.0,2888
194.0,2918
195.0,2989
196.0,2979
197.0,3056
198.0,3099
199.0,3104
200.0,3148
201.0,3194
202.0,3221
203.0,3284
204.0,3313
205.0,3327
206.0,3341
207.0,3357
208.0,3382
209.0,3439
210.0,3470
211.0,3527
212.0,3559
213.0,3600
214.0,3605
215.0,3617
216.0,3621
217.0,3654
218.0,3952
219.0,3961
220.0,3967
221.0,4003
222.0,4119
223.0,4125
224.0,4131
225.0,4134
226.0,4159
227.0,4198
228.0,4230
229.0,4268
230.0,4289
231.0,4294
232.0,4326
233.0,4409
234.0,4450
235.0,4492
236.0,4495
237.0,4503
238.0,4539
239.0,4539
240.0,4540
241.0,4575
242.0,4580
243.0,4606
244.0,4608
245.0,4598
246.0,4604
247.0,4639
248.0,4641
249.0,4649
250.0,4649
251.0,4654
252.0,4660
253.0,4663
254.0,4742
255.0,4745
256.0,4748
257.0,4788
258.0,4752
259.0,4756
260.0,4758
261.0,4763
262.0,4780
263.0,4766
264.0,4771
265.0,4772
266.0,4776
267.0,4779
268.0,4814
269.0,4815
270.0,4819
271.0,4781
272.0,4803
273.0,4805
274.0,4805
275.0,4806
276.0,4807
277.0,4810
278.0,4809
279.0,4810
280.0,4803
281.0,4799
282.0,4837
283.0,4837
284.0,4840
285.0,4841
286.0,4842
287.0,4843
288.0,4844
289.0,4845
290.0,4845
291.0,4844
292.0,4843
293.0,4820
294.0,4839
295.0,4843
296.0,4843
297.0,4822
298.0,4823
299.0,4823
300.0,4823
301.0,4865
302.0,4865
303.0,4865
304.0,4893
305.0,4930
306.0,4931
307.0,4932
308.0,4933
309.0,4934
310.0,4932
311.0,4932
312.0,4933
313.0,4933
314.0,4933
315.0,4933
316.0,4933
317.0,4934
318.0,4935
319.0,4934
320.0,4934
321.0,4934
322.0,4934
323.0,4934
324.0,4936
325.0,4936
326.0,4937
327.0,4937
328.0,4937
329.0,4937
330.0,4937
331.0,4937
332.0,4936
333.0,4928
334.0,4928
335.0,4928
336.0,4927
337.0,4926
338.0,4926
339.0,4926
340.0,4926
341.0,4926
342.0,4926
343.0,4920
344.0,4919
345.0,4919
346.0,4919
347.0,4919
348.0,4919
349.0,4919
350.0,4919
351.0,4919
352.0,4919
353.0,4919
354.0,4919
355.0,4919
356.0,4918
357.0,4920
358.0,4919
359.0,4919
360.0,4878
361.0,4919
362.0,4918
363.0,4919
364.0,4919
365.0,4919
366.0,4919
367.0,4918
368.0,4918
369.0,4916
370.0,4917
371.0,4917
372.0,4904
373.0,4904
374.0,4904
375.0,4904
376.0,4892
377.0,4890
378.0,4851
379.0,4851
380.0,4850
381.0,4850
382.0,4849
383.0,4849
384.0,4846
385.0,4846
386.0,4847
387.0,4832
388.0,4832
389.0,4832
390.0,4622
391.0,4620
392.0,4615
393.0,4615
394.0,4615
395.0,4613
396.0,4592
397.0,4591
398.0,4590
399.0,4589
400.0,4580
401.0,4579
402.0,5021
403.0,5020
404.0,5020
405.0,5009
406.0,5010
407.0,5011
408.0,5010
409.0,5011
410.0,4976
411.0,4975
412.0,4960
413.0,4955
414.0,4933
415.0,4933
416.0,4932
417.0,4920
418.0,4916
419.0,4912
420.0,4912
421.0,4915
422.0,4910
423.0,4916
424.0,4886
425.0,4884
426.0,4883
427.0,4885
428.0,4879
429.0,4876
430.0,4718
431.0,4709
432.0,4705
433.0,4699
434.0,4698
435.0,4655
436.0,4592
437.0,4580
438.0,4570
439.0,4558
440.0,4594
441.0,4591
442.0,4547
443.0,4540
444.0,4557
445.0,4549
446.0,4537
447.0,4515
448.0,4495
449.0,4491
450.0,4470
451.0,4442
452.0,4410
453.0,4396
454.0,4389
455.0,4176
456.0,4171
457.0,4158
458.0,4136
459.0,4130
460.0,4102
461.0,4088
462.0,4069
463.0,4061
464.0,4005
465.0,4003
466.0,3986
467.0,3967
468.0,3959
469.0,3954
470.0,3944
471.0,3918
472.0,3892
473.0,3848
474.0,3834
475.0,3827
476.0,3821
477.0,3761
478.0,3731
479.0,3723
480.0,3673
481.0,3687
482.0,3680
483.0,3656
484.0,3637
485.0,3587
486.0,3578
487.0,3570
488.0,3559
489.0,3526
490.0,3505
491.0,3465
492.0,3450
493.0,3460
494.0,3416
495.0,3399
496.0,3389
497.0,3383
498.0,3358
499.0,3336
500.0,3316
501.0,3319
502.0,3281
503.0,3272
504.0,3257
505.0,3248
506.0,3226
507.0,3204
508.0,3181
509.0,3175
510.0,3169
511.0,3162
512.0,3158
513.0,3117
514.0,3131
515.0,3124
516.0,3096
517.0,3027
518.0,2980
519.0,2947
520.0,2924
521.0,2916
522.0,2872
523.0,2825
524.0,2821
525.0,2796
526.0,2771
527.0,2764
528.0,2749
529.0,2700
530.0,2693
531.0,2663
532.0,2656
533.0,2605
534.0,2581
535.0,2558
536.0,2528
537.0,2525
538.0,2484
539.0,2471
540.0,2462
541.0,2455
542.0,2415
543.0,2404
544.0,2402
545.0,2384
546.0,2376
547.0,2353
548.0,2336
549.0,2310
550.0,2292
551.0,2229
552.0,2193
553.0,2169
554.0,2164
555.0,2140
556.0,2120
557.0,2063
558.0,2034
559.0,1967
560.0,1923
561.0,1866
562.0,1849
563.0,1828
564.0,1802
565.0,1832
566.0,1798
567.0,1794
568.0,1788
569.0,1777
570.0,1738
571.0,1728
572.0,1706
573.0,1655
574.0,1620
575.0,1577
576.0,1556
577.0,1537
578.0,1515
579.0,1470
580.0,1416
581.0,1399
582.0,1345
583.0,1302
584.0,1260
585.0,1251
586.0,1230
587.0,1207
588.0,1183
589.0,1171
590.0,1155
591.0,1141
592.0,1116
593.0,1088
594.0,1046
595.0,1049
596.0,1044
597.0,1035
598.0,1017
599.0,1000
600.0,989
601.0,975
602.0,962
603.0,947
604.0,936
605.0,904
606.0,881
607.0,864
608.0,826
609.0,776
610.0,768
611.0,749
612.0,746
613.0,740
614.0,731
615.0,703
616.0,685
617.0,649
618.0,594
619.0,549
620.0,542
621.0,520
622.0,517
623.0,509
624.0,507
625.0,491
626.0,468
627.0,446
628.0,427
629.0,419
630.0,408
631.0,383
632.0,381
633.0,373
634.0,358
635.0,346
636.0,341
637.0,333
638.0,326
639.0,321
640.0,298
641.0,286
642.0,290
643.0,289
644.0,286
645.0,282
646.0,270
647.0,259
648.0,256
649.0,245
650.0,243
651.0,238
652.0,223
653.0,218
654.0,206
655.0,204
656.0,194
657.0,171
658.0,162
659.0,153
660.0,151
661.0,150
662.0,150
663.0,145
664.0,145
665.0,144
666.0,141
667.0,140
668.0,139
669.0,135
670.0,134
671.0,131
672.0,130
673.0,129
674.0,129
675.0,129
676.0,129
677.0,127
678.0,127
679.0,126
680.0,124
681.0,124
682.0,123
683.0,123
684.0,122
685.0,122
686.0,119
687.0,116
688.0,116
689.0,116
690.0,116
691.0,116
692.0,115
693.0,115
694.0,114
695.0,113
696.0,113
697.0,112
698.0,112
699.0,112
700.0,111
701.0,111
702.0,111
703.0,111
704.0,111
705.0,110
706.0,110
707.0,109
708.0,109
709.0,109
710.0,109
711.0,109
712.0,108
713.0,108
714.0,108
715.0,108
716.0,108
717.0,107
718.0,107
719.0,107
720.0,107
721.0,107
722.0,107
723.0,107
724.0,107
725.0,107
726.0,107
727.0,107
728.0,107
729.0,107
730.0,110
731.0,110
732.0,116
733.0,116
734.0,116
735.0,116
736.0,116
737.0,116
738.0,116
739.0,116
740.0,116
741.0,116
742.0,116
743.0,116
744.0,117
745.0,117
746.0,117
747.0,131
748.0,132
749.0,132
750.0,133
751.0,133
752.0,133
753.0,134
754.0,134
755.0,134
756.0,134
757.0,133
758.0,133
759.0,133
760.0,132
761.0,133
762.0,134
763.0,134
764.0,134
765.0,136
766.0,136
767.0,137
768.0,138
769.0,140
770.0,141
771.0,141
772.0,113
773.0,114
774.0,116
775.0,116
776.0,117
777.0,119
778.0,121
779.0,121
780.0,124
781.0,124
782.0,134
783.0,134
784.0,136
785.0,136
786.0,136
787.0,140
788.0,141
789.0,141
790.0,142
791.0,143
792.0,145
793.0,195
794.0,198
795.0,233
796.0,232
797.0,234
798.0,234
799.0,236
800.0,236
801.0,294
802.0,299
803.0,308
804.0,323
805.0,321
806.0,322
807.0,322
808.0,325
809.0,369
810.0,378
811.0,397
812.0,414
813.0,419
814.0,421
815.0,423
816.0,425
817.0,428
818.0,436
819.0,437
820.0,438
821.0,459
822.0,459
823.0,463
824.0,489
825.0,499
826.0,504
827.0,534
828.0,537
829.0,543
830.0,578
831.0,590
832.0,597
833.0,599
834.0,608
835.0,609
836.0,688
837.0,691
838.0,702
839.0,703
840.0,725
841.0,728
842.0,730
843.0,732
844.0,738
845.0,779
846.0,831
847.0,854
848.0,858
849.0,867
850.0,1016
851.0,1039
852.0,1087
853.0,1093
854.0,1099
855.0,1135
856.0,1172
857.0,1214
858.0,1217
859.0,1228
860.0,1268
861.0,1280
862.0,1288
863.0,1335
864.0,1343
865.0,1402
866.0,1405
867.0,1433
868.0,1467
869.0,1447
870.0,1487
871.0,1487
872.0,1489
873.0,1542
874.0,1547
875.0,1577
876.0,1595
877.0,1603
878.0,1605
879.0,1611
880.0,1651
881.0,1684
882.0,1691
883.0,1698
884.0,1704
885.0,1712
886.0,1717
887.0,1746
888.0,1757
889.0,1803
890.0,1807
891.0,1809
892.0,1820
893.0,1826
894.0,1855
895.0,1906
896.0,1913
897.0,1915
898.0,1965
899.0,2011
900.0,2025
901.0,2004
902.0,2050
903.0,2059
904.0,2118
905.0,2152
906.0,2165
907.0,2174
908.0,2240
909.0,2228
910.0,2231
911.0,2234
912.0,2252
913.0,2288
914.0,2304
915.0,2312
916.0,2319
